RespondentID,newid,collectorid,location,date,nbr_relation,sense_commun,safe_violence,safe_covid,food_enough,food_access,food_variety,food_afford,food_worry,covid_info_satis,covid_brief_satis,maint_suite,maint_suite_txt,maint_common,maint_common_txt,maint_amenity,maint_amenity_txt,maint_exterior,maint_exterior_txt,maint_security,maint_security_txt,maint_landscape,maint_landscape_txt,maint_other,maint_other_txt,house_stable,house_stable_txt,apprch_bside,comm_email,comm_email_adj,comm_phone,comm_phone_adj,comm_note,comm_note_adj,comm_board,comm_board_adj,comm_mail,comm_mail_adj,comm_meet,comm_meet_adj,comm_news,comm_news_adj,comm_reg,comm_news_satisf,depm_admin,depm_oper,depm_account,depm_comdev,depm_res,depm_improve_txt,food_access_last_12,food_worry_last_12,food_health_last_12,food_few_last_12,food_skip_last_12,food_less_last_12,food_empty_last_12,food_hunger_last_12,food_day_last_12,hlth_phys,hlth_mental,hlth_happy,support_medication,support_clean,support_maintenance,support_personal,support_meal,support_grocery,support_na,support_other,support_other_txt,hlth_well,htlh_well_txt,home_dnurse,nome_wnurse,home_outreach,home_food,home_clean,home_none,home_na,home_other,home_other_txt,prgm_garden,prgm_bbq,prgm_party,prgm_fair,prgm_social,prgm_clinic,prgm_none,prgm_na,prgm_other,prgm_other_txt,event_forward,event_inclu,event_easy,event_nbr,event_conv,event_contr,event_connect,event_new,event_satis_yr,event_res_effort,impr_safe,impr_comm_nbr,impr_comm_bside,impr_social,impr_support,impr_none,impr_na,impr_other,impr_other_txt,time_nbr,time_nbr_txt,nbr_relation_better,nbr_relation_priv,nbr_relation_enough,nbr_relation_friend,nbr_relation_notime,nbr_relation_ufr,nbr_relation_not,nbr_relation_na,nbr_relation_other,nbr_relation_other_txt,chat_often,chat_mysuite,chat_nbrsuite,chat_common,chat_garden,chat_city,chat_na,chat_other,chat_other_txt,num_close_friends,ask_borrow,ask_sick,ask_away,ask_child,ask_event,ask_help,ask_none,ask_na,ask_other,ask_other_txt,unsafe_area,unsafe_area_yes,rlns_care,rlns_close,rlns_lonely,rlns_welcome,rlns_space,rlns_conflict,rlns_safe,rlns_safe_obj,age,gender,gender_other_desc,sex,sex_other_desc,household,household_num,num_child,lang_eng,lang_fr,lang_canto,lang_mando,lang_span,lang_rus,lang_viet,lang_hindi,lang_punj,lang_tag,lang_na,lang_other,lang_other_txt,ethn_white,ethn_chn,ethn_sa,ethn_blk,ethn_ph,ethn_la,ethn_sea,ethn_arab,ethn_wa,ethn_jp,ethn_kr,ethn_indig,ethn_na,ethn_other,ethn_other_txt,id_senior,id_ya,id_indig,id_dis,id_substance,id_addict,id_mentalhealth,id_flee_viol,id_vet,id_lgbtq,id_racialized,id_recent_Imm,id_homeless,id_na,rln_status,rln_status_other,rln_support,rln_support_other,work_paid,work_vol,walk_aid,walk_aid_cane,walk_aid_walk,walk_aid_crutch,walk_aid_wlchair,walk_aid_scooter,walk_aid_na,walk_aid_other,walk_aid_other_txt,educ_level,educ_level_other,imm_status,imm_year,bside_dur,bside_pre,bside_pre_other,bside_pre_muni,bside_pre_muni_other,surv_feedback,surv_who,surv_who_other,surv_hear,surv_hear_other
1.10005E+11,5213409,270167560,SOROPTIMIST LIONS,8/30/2020 23:28,2,1,1,1,1,4,3,1,3,3,2,,,1,,1,"Everything ""get-together"" for socializing with one another",,,1,Need to have on-call security people in bld in case of emergency,1,"""Arborist"" to take care of dying trees + bushes due to neglect",,,4,,2,,,3,0,3,0,,,3,0,,,4,0,2,3,1,5,3,1,3,Have get together meetings with tenants to visit and chat in amenity room,1,2,2,2,2,2,2,2,2,2,4,3,,,1,,,1,,1,"Having a healthcare professional ""occasionally"" stop by to check on you to see how you are feeling and if they can help you in any way",1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,3,3,,1,1,,,,,,,1,,1,,,,,,,,,,1,,,,1,,,,,5,,,,,,,1,,,,0,Laundry room (closed in),2,3,4,2,3,2,3,3,8,1,,1,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1, , , , , , , , , , , , , ,3,,0,-,4,3,2,,,,,,,,,2,,1,,4,1,,1,,"I strongly feel that a ""Security Guard"" should be hired to be on-call 24/7 in every Brightside bldg for the safety of the tenants!",1,,2,
1.10005E+11,5213423,270167545,ALICE SAUNDERS,8/30/2020 23:45,3,2,3,3,0,0,0,0,0,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,3,0,,,,,3,0,,,2,2,4,4,4,4,5,,6,2,2,2,2,1,2,2,1,4,4,3,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,3,3,,1,,,,,,,,2,,3,1,,,,,,,,,2,,,,1,,,,,5,,,,,,,1,,,,1,,5,4,1,4,5,4,5,4,8,1,,1,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1, , , , , , , , , , , , , ,3,,3,,3,3,3,,,,,,1,,,2,,1,,3,2,,1,,,1,,2,
1.10005E+11,5213433,270167570,MUIR MANOR,8/31/2020 0:01,2,1,1,1,3,,,,,2,2,1,Floors-Cabinets-Shelving space,1,Cameras working,,,,,1,Cameras all doors hallways,1,Trees pruned by patio,1,Great things have improved last 18 months thanks!,3,,3,1,1,3,0,4,0,4,0,2,1,1,1,4,0,2,3,,,,,,People who deal with complaints can not tell tenants who did complaints we no longer trust the system,3,,,,2,2,2,,,4,4,4,,,,,,,,1,Neighbours who are not abusive not loud,2,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,2,1,,1,1,,,,,,1,,,1,,,,,,5,1,,1,1,,,,,,,0,The backyard common area transents come and go,3,0,0,2,2,2,1,2,10,4,,5,,2,,6,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,, , , , , , , , , , , , , ,1,5,,4,,4,3,2,,,,,,,,,4,,2,,5,3,,1,,We do not feel safe here with the crazy tenant on main level,1,,2,
1.10005E+11,5217550,270167548,EDWARD BYERS,8/31/2020 11:44,2,2,2,2,1,1,1,1,1,2,2,2,,2,,2,,1,Right now  there is more,,,2,,,,,,2,,,,,,,5,0,,,,,,,2,3,3,4,3,,,,1,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,1,None of the above,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,2,1,,,,,,,,,1,,,,,,,1,In the alley!,1,,,,,,,1,,,,1,,2,2,2,2,1,1,4,3,9,4,,5,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1, , , , , , , , , , , , , ,1,,0,None,3,1,2,,,,,,,,,4,,1,,4,2,,2,,The emergency responses is very poor!,1,,2,
1.10005E+11,5218066,270167555,LOYAL ORANGE,8/31/2020 12:36,2,2,2,0,1,1,1,1,1,2,2,2,,2,,,,2,,1,In-house care taker,,,1,Exercise room in common area,2,,1,2,1,2,1,4,0,4,0,,,2,1,4,0,3,3,3,3,4,4,4,,1,2,2,2,2,2,2,2,2,1,2,3,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,2,2,,,,,,,1,,,1,,3,,,,,,,,,,3,,,1,1,,,,,2,,1,1,,,1,,,,,0,Exterior doors/drug culture,4,2,3,4,3,3,2,2,8,2,,5,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1, , , , , , , , , , , , , ,1,,1,,3,4,2,,,,,,,,,2,,1,,4,4,,1,,Having exercised most or all my life I know the benefits! I would like to see common areas with exercise rooms such as some condos have,1,,2,
1.10005E+11,5218234,270167557,MACLEOD MANOR,8/31/2020 12:52,2,2,2,2,0,0,0,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,1,,1,,,3,0,,,,,,,,,,,2,1,5,5,5,5,5,,6,2,2,2,2,2,2,2,2,1,1,1,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,6,6,,,,,,,1,,,2,,3,1,,,,,,,,,6,,,,,,1,,,5,,,,,,,1,,,,1,,0,0,0,4,0,4,4,4,8,2,,1,,0,We are two it is me and my girlfriend,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,English Canadian,1, , , , , , , , , , , , , ,3,,4,,3,3,1,,1,,,,,,,2,,1,,3,3,,1,,,1,,1,
1.10005E+11,5218313,270167557,MACLEOD MANOR,8/31/2020 13:01,2,2,2,2,1,1,1,1,1,1,1,2,,2,,2,,1,Ramp required,2,,2,,,,2,,3,3,0,3,0,3,0,3,0,1,1,1,1,1,1,1,2,3,3,3,3,,,1,2,2,2,2,2,2,2,2,4,4,4,,,1,,,,,,,1,,,,,,,1,,,,1,,,,1,,,,,,4,,4,4,4,,,,2,2,,,,,,1,,,,1,,1,,,,,,,,,,5,,,,,,,,,2,,,,,,,1,,,,1,,2,2,5,2,2,2,3,2,9,1,,3,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1, , , , , , , , ,1, , , , ,1,,3,,3,3,1,1,1,,,,,,,1,,1,,3,2,,1,,,1,,2,
1.10005E+11,5218918,270167557,MACLEOD MANOR,8/31/2020 14:15,2,2,2,2,3,3,2,3,3,1,1,2,,1,Cleanliness garbage scattered around bldg foundation,2,,2,,1,Underground garbage door often open,2,,2,,2,,2,1,1,3,0,1,1,3,0,1,1,2,1,4,0,1,1,3,2,3,4,4,A lot of people I talk to say staff is rude I don't experience this but many do,3,1,1,1,1,1,1,1,2,4,5,4,1,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,3,3,,,,,1,,,,,1,,2,,,,,1,,,,,4,,,1,1,,,,,2,,,,,,,1,,,,0,Underground garbage door does not close when car exits,1,1,4,2,2,1,3,3,7,0,LGBT,4,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,, , , , , , ,1, , ,1, , , , ,1,,,,4,3,2,,,,,,,,,3,,1,,3,5,,1,,Generally the relocation situation has made a lot of people on edge,1,,2,
1.10005E+11,5219066,270167546,ARBUTUS COURT,8/31/2020 14:31,3,0,2,2,1,1,1,1,1,1,2,,,,Do not have one,,Do not have one,2,,2,,1,Grateful for the opportunity + support to have the garden!,,,2,,1,,,3,0,,,,,,,,,,,1,1,4,5,4,5,,,1,,,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,1,Friends and neighbours in the building,1,,1,,,,,,,,4,4,4,,,4,4,4,2,2,,1,1,1,1,,,1,The community garden is very successful,1,,1,,,,,,,,,,1,1,1,,1,,,,,4,1,1,1,,1,1,,,,,1,,5,5,2,5,5,5,5,5,8,1,,1,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1, , , , , , , , , , , , , ,1,,0,Children-friends-family,4,2,2,,,,,,,,,6,,0,1949,4,2,,0,Toronto,,1,,2,
1.10005E+11,5219374,270167563,COLEOPY PARK,8/31/2020 15:10,2,2,2,2,1,1,1,1,1,2,3,2,,2,,2,,2,,2,,2,,2,,2,I like the area and have friends in my building,2,1,1,2,1,2,1,2,1,2,1,2,1,3,0,2,2,4,4,4,4,5,Have an in-house garbage system It is hard for me to go up and down the stairs to throw garbage away Or have someone collect it a few times a week from peoples apartment,1,2,2,2,2,2,2,2,2,4,2,2,,1,1,,1,1,,,,1,,,,,,,,,1,My family comes to help me,,,,,,,1,,,,,,,,,,,,3,2,,1,1,1,,,,,,1,,2,,,,,1,,,1,I do not speak English very well so it is hard to communicate and some people are not friendly they do not even greet you if you pass by,3,,,1,,,,,,2,1,1,,,1,1,,,1,Only with close friends I have a couple that I knew before living there,1,,2,4,2,3,2,3,4,4,9,1,,1,,1,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1, , ,1, , , , , , , , , , ,3,,0,Children-Family,3,3,2,,,,,,,,,1,,0,1993,3,3,,1,,,0,My daughter,2,
1.10005E+11,5220583,270167563,COLEOPY PARK,8/31/2020 19:15,2,2,2,2,1,1,1,1,1,1,1,2,,1,Need benches outside the front door,1,Need the pool table book,1,Need benches at front door,2,,2,,1,Need benches outside front door,1,,1,3,0,3,0,3,0,3,0,1,1,3,0,3,0,1,3,5,5,5,1,5,Meetings in the common room once in a while,3,1,1,1,1,1,1,1,1,5,3,3,,,,,,,,1,Tours/outings/activities,1,,,,,,,1,,,,,1,,,,,,,,,5,,4,4,4,3,4,4,3,3,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,3,1,2,1,3,4,8,2,,1,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1, , , , , , , , , , , ,1, ,3,,0,Children-friends,3,3,2,,,,,,,,,5,,1,,2,6,,0,North Vancouver,No,1,,2,
1.10005E+11,5220647,270167563,COLEOPY PARK,8/31/2020 19:31,2,,,,1,1,1,1,1,2,2,2,,1,Handicap accessibility at entrance,,,,,,,,,1,"Access storage Get red of ""crap"" left behind by former tenant who left years",1,I am being taken care of,1,1,1,4,0,4,0,4,0,2,1,3,0,2,1,2,3,4,3,3,2,,,1,2,2,2,2,2,2,2,2,5,3,6,,,1,,,,,,,1,,,,,,,,,1,Home makers-My daughter-My sister-in-law,,,,,,,1,,,,,,,,,,,,6,3,1,,,,,,,,,1,,3,,,,,,,1,,,6,,,1,,,,1,Lobby,5,,,,,,,,1,,,1,,3,3,3,3,2,2,4,4,8,1,,1,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1, , ,1, , , , , , , , , , ,5,,2,,3,3,1,,1,,1,,,,,1,,1,,4,2,,1,,,1,,2,
1.10005E+11,5220706,270167554,LONDONDERRY,8/31/2020 19:47,2,2,2,2,1,1,1,1,1,2,3,2,,1,I like the hallway lighting are much brighter,2,,2,,2,,2,,2,,3,,3,,,,,4,0,,,,,,,,,1,3,3,3,3,3,3,,1,2,2,2,2,2,2,2,2,3,3,3,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,6,3,,,1,,,,,,,2,,2,1,,,,,,,,,2,,,1,,,,,,2,,,,,,,1,,,,0,The back-lane entry from the parking lot is dark during evening Need sensor brighter LED bulbs for security purpose,3,3,3,4,3,3,4,4,7,1,,1,,1,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1, , , , , , , , , , , , , ,4,,2,,3,3,2,,,,,,,,,3,,0,1990,3,3,,1,,,1,,,
1.10005E+11,5220761,270167554,LONDONDERRY,8/31/2020 20:00,2,2,2,3,1,1,1,1,1,2,2,1,Exchange all the doors,2,,2,,2,,1,Camera in the lobby,2,,,,1,,3,1,1,5,0,3,0,2,1,2,1,1,1,1,1,2,1,5,3,1,3,0,,1,2,1,2,2,2,2,2,2,2,2,3,,,,,,,,1,None of the above,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,2,6,1,,,,,,,,,1,,2,,,,1,,,,,,2,,,1,,,,,,2,,,1,,,1,,,,,1,,4,4,1,4,4,4,4,4,8,1,,1,,1,,1,,,,,,,,,,,,1,Polish,1,,,,,,,,,,,,,,,1, , , , , , , , , , , , , ,3,,3,,1,3,2,,,,,,,,,3,,0,1999,4,1,,1,,,1,,2,
